Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<                                ,"$7,907.00 ",,
ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<                                ,"$7,907.00 ",,
ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM                                 ,"$7,907.00 ",,
ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM                                     ,"$7,907.00 ",,
ADJUSTMENT OF GASTRIC BAND DIAMETER VIA SUBCUTANEOUS PO                         ,$546.00 ,,
"ADMINISTRATION AND SUPPLY OF TOSITUMOMAB, 450 MG                                ","$3,623.00 ",,
ADMINISTRATION OF HEPATITIS B VACCINE                                           ,$241.00 ,,
ADMINISTRATION OF INFLUENZA VIRUS VACCINE                                       ,$241.00 ,,
ADMINISTRATION OF PNEUMOCOCCAL VACCINE                                          ,$241.00 ,,
ADO-TRASTUZUMAB EMTANSINE 1 MG,$0.00 ,Invoice-based charges,
ADRENOCORTICOTROPIC HORMONE ACTH                                                ,$296.00 ,,
"AEROSOLIZED PENTAMIDINE, 300MG",$0.00 ,Invoice-based charges,
AFLIBERCEPT INJECTION 1MG,$0.00 ,Invoice-based charges,
AFP-L3 FRACTION ISOFORM & TOTAL AFP W/RATIO                                     ,$238.00 ,,
AIRWAY RESISTANCE BY IMPULSE OSCILLOMETRY                                       ,$221.00 ,,
ALBUMIN SERUM PLASMA/WHOLE BLOOD                                                ,$44.00 ,,
"ALBUTEROL, INHALATION SOLUTION, FDA-APPROVED FINAL PROD                         ",$2.35 ,,
ALDESLEUKIN;PER SINGL USE VIAL,$0.00 ,Invoice-based charges,
ALISKIREN 150 MG TAB,$0.00 ,Invoice-based charges,
ALKALOIDS NOT OTHERWISE SPECIFIED                                               ,$211.00 ,,
ALL POTASSIUM HYDROXIDE (KOH) PREPARATIONS                                      ,$12.00 ,,
ALLERGEN SPEC IGE CRUDE ALLERGEN EXTRACT EACH                                   ,$36.00 ,,
ALLG TEST PERQ & IC DRUG/BIOL IMMED REACT W/I&R                                 ,$133.00 ,,
ALLG TSTG PERQ & IC VENOMS IMMED REACT W/I&R                                    ,$133.00 ,,
ALLOGENEIC LYMPHOCYTE INFUSIONS                                                 ,"$9,470.00 ",,
ALPHA-1-ANTITRYPSIN PHENOTYPE                                                   ,$28.00 ,,
ALPHA-1-ANTITRYPSIN TOTAL                                                       ,$114.00 ,,
ALPHA-FETOPROTEIN AMNIOTIC FLUID                                                ,$96.00 ,,
ALPHA-FETOPROTEIN SERUM                                                         ,$115.00 ,,
ALPROSTADIL URETHRAL SUPPOSITORY (CODE MAY BE USED FOR                          ,$69.00 ,,
ALTEPLASE RECOM PER 1MG,$0.00 ,Invoice-based charges,
AMBL BLD PRESS W/TAPE/DISK 24/>HR ALYS W/REPRT                                  ,$84.00 ,,
"AMIFOSTINE, 500 MG",$0.00 ,Invoice-based charges,
AMIKACIN SULFATE INJ 100 MG,$0.00 ,Invoice-based charges,
AMINO ACIDS 1 QUANTITATIVE EACH SPECIMEN                                        ,$40.00 ,,
AMINO ACIDS 6/> AMINO ACIDS QUANTITATIVE EA SPE                                 ,$243.00 ,,
AMINOLEVULINIC ACID DELTA                                                       ,$105.00 ,,
"AMINOLEVULINIC ACID HCL FOR TOPICAL ADMINISTRATION, 20%                         ",$441.00 ,,
AMINOPHYLLIN 250MG,$0.00 ,Invoice-based charges,
AMNIOCENTESIS DIAGNOSIC                                                         ,$483.00 ,,
AMNIOCENTESIS THER AMNIOTIC FLUID RDCTJ US GUID                                 ,$297.00 ,,
"AMNIOEXCEL OR BIODEXCEL, PER SQUARE CENTIMETER                                  ",$660.00 ,,
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROC                         ","$1,898.00 ",,
AMP F/TH 1/2 JT/PHALANX W/NEURECT LOCAL FLAP                                    ,"$4,830.00 ",,
AMP F/TH 1/2 JT/PHALANX W/NEURECT W/DIR CLSR                                    ,"$1,154.00 ",,
AMPICILLIN 500 MG,$0.00 ,Invoice-based charges,
AMPICILLIN-SULBACTAM PER 1.5 G,$0.00 ,Invoice-based charges,
ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-T                         ,$500.00 ,,
ANDEXXA COAG FACT XA INJ,$0.00 ,Invoice-based charges,
ANDROSTENEDIONE                                                                 ,$162.00 ,,
ANESTHESIA PER MINUTE  ,$0.00 ,Time Based Charge,$17.00 
ANGIOGRAPHY ADRENAL BILATERAL SLCTV RS&I                                        ,"$1,755.00 ",,
ANGIOGRAPHY ADRENAL UNILATERAL SLCTV RS&I                                       ,"$2,651.00 ",,
ANGIOGRAPHY EXTREMITY BILATERAL RS&I                                            ,"$6,307.00 ",,
ANGIOGRAPHY EXTREMITY UNILATERAL RS&I                                           ,"$7,975.00 ",,
ANGIOGRAPHY INTERNAL MAMMARY RS&I                                               ,"$4,685.00 ",,
ANGIOGRAPHY PELVIC SLCTV/SUPRASLCTV RS&I                                        ,"$3,050.00 ",,
ANGIOGRAPHY PULMONARY BILATERAL SLCTV RS&I                                      ,"$4,462.00 ",,
ANGIOGRAPHY PULMONARY UNILATERAL SLCTV RS&I                                     ,"$4,387.00 ",,
ANGIOGRAPHY SPINAL SELECTIVE RS&I                                               ,"$4,047.00 ",,
ANGIOGRAPHY VISCERAL SLCTV/SUPRASLCTV RS&I                                      ,"$3,050.00 ",,
ANGIOTENSIN I-CONVERTING ENZYME                                                 ,$75.00 ,,
ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS                                ,"$1,015.00 ",,
ANGRPH PULMONARY NONSLCTV CATH/VEN NJX RS&I                                     ,"$2,651.00 ",,
ANGRPH SLCTV EA VSL STUDIED AFTER BASIC XM RS&I                                 ,"$2,110.00 ",,
"ANKLE CONTROL ORTHOSIS, STIRRUP STYLE, RIGID, INCLUDES                          ",$30.00 ,,
"ANNUAL DEPRESSION SCREENING, 15 MINUTES                                         ",$37.00 ,,
"ANNUAL WELLNESS VISIT, INCLUDES A PERSONALIZED PREVENTI                         ",$182.00 ,,
ANNUAL WELLNESS VISIT; INCLUDES A PERSONALIZED PREVENTI                         ,$270.00 ,,
ANNUAL WELLNESS VISIT; INCLUDES A PERSONALIZED PREVENTI                         ,$76.00 ,,
ANORECTAL MANOMETRY                                                             ,"$1,237.00 ",,
ANOSC RMVL 1 TUM POLYP/OTH LES SNARE TQ                                         ,$531.00 ,,
ANOSC RMVL MULT TUMORS CAUTERY/SNARE                                            ,$704.00 ,,
ANOSCOPY ABLATION LESION                                                        ,$704.00 ,,
ANOSCOPY CONTROL BLEEDING                                                       ,"$2,181.00 ",,
ANOSCOPY DX W/COLLJ SPEC BR/WA SPX WHEN PRFRMD                                  ,$876.00 ,,
ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT                                       ,$475.00 ,,
ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT W/BX                                  ,"$2,979.00 ",,
ANOSCOPY W/BX SINGLE/MULTIPLE                                                   ,"$2,358.00 ",,
ANOSCOPY W/DILATION                                                             ,$380.00 ,,
ANOSCOPY W/RMVL FOREIGN BODY                                                    ,$531.00 ,,
ANOSCOPY W/RMVL LESION CAUTERY                                                  ,$941.00 ,,
ANT SGM IMAGING W/MICROSCOPY ENDOTHELIAL ANALY                                  ,$394.00 ,,
ANTEPARTUM CARE ONLY 4-6 VISITS                                                 ,$335.00 ,,
ANTEPARTUM CARE ONLY 7/> VISITS                                                 ,$335.00 ,,
ANTIBODY ADENOVIRUS                                                             ,$89.00 ,,
ANTIBODY ASPERGILLUS                                                            ,$58.00 ,,
ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED                                      ,$39.00 ,,
ANTIBODY BARTONELLA                                                             ,$67.00 ,,
ANTIBODY BLASTOMYCES                                                            ,$73.00 ,,
ANTIBODY BORRELIA BURGDORFERI CONFIRMATORY TST                                  ,$60.00 ,,
ANTIBODY BORRELIA BURGDORFERI LYME DISEASE                                      ,$140.00 ,,
ANTIBODY BORRELIA RELAPSING FEVER                                               ,$117.00 ,,
ANTIBODY CAMPYLOBACTER                                                          ,$103.00 ,,
ANTIBODY CANDIDA                                                                ,$66.00 ,,
ANTIBODY CHLAMYDIA                                                              ,$26.00 ,,
ANTIBODY CHLAMYDIA IGM                                                          ,$26.00 ,,
ANTIBODY COCCIDIOIDES                                                           ,$56.00 ,,
ANTIBODY COXIELLA BURNETII Q FEVER                                              ,$47.00 ,,
ANTIBODY CYTOMEGALOVIRUS CMV                                                    ,$121.00 ,,
ANTIBODY CYTOMEGALOVIRUS CMV IGM                                                ,$80.00 ,,
ANTIBODY DIPHTHERIA                                                             ,$42.00 ,,
ANTIBODY EHRLICHIA                                                              ,$134.00 ,,
ANTIBODY ELUTION RBC EACH ELUTION                                               ,$500.00 ,,
ANTIBODY ENTEROVIRUS                                                            ,$52.00 ,,
ANTIBODY EPSTEIN-BARR EB VIRUS NUCLEAR AG EBNA                                  ,$126.00 ,,
ANTIBODY EPSTEIN-BARR EB VIRUS VIRAL CAPSID VCA                                 ,$126.00 ,,
ANTIBODY FUNGUS NOT ELSEWHERE SPECIFIED                                         ,$134.00 ,,
ANTIBODY GIARDIA LAMBLIA                                                        ,$87.00 ,,
ANTIBODY HAEMOPHILUS INFLUENZA                                                  ,$44.00 ,,
ANTIBODY HELICOBACTER PYLORI                                                    ,$72.00 ,,
ANTIBODY HELMINTH NOT ELSEWHERE SPECIFIED                                       ,$128.00 ,,
ANTIBODY HEP DELTA AGENT                                                        ,$75.00 ,,
ANTIBODY HERPES SMPLX TYPE 1                                                    ,$63.00 ,,
ANTIBODY HERPES SMPLX TYPE 2                                                    ,$91.00 ,,
ANTIBODY HISTOPLASMA                                                            ,$53.00 ,,
ANTIBODY HIV-1                                                                  ,$78.00 ,,
ANTIBODY HIV-2                                                                  ,$92.00 ,,
ANTIBODY HLA CLASS I HIGH DEFINITION PANEL QUAL                                 ,"$1,226.00 ",,
ANTIBODY HLA CLASS I PHENOTYPE PANEL QUALITATIVE                                ,"$1,009.00 ",,
ANTIBODY HLA CLASS II HIGH DEFINITION PANEL QUAL                                ,$706.00 ,,
ANTIBODY HLA CLASS II PHENOTYPE PANEL QUAL                                      ,"$1,110.00 ",,
ANTIBODY HTLV/HIV ANTIBODY CONFIRMATORY TEST                                    ,$180.00 ,,
ANTIBODY HTLV-I                                                                 ,$73.00 ,,
ANTIBODY HTLV-II                                                                ,$87.00 ,,
ANTIBODY ID RBC ANTIBODIES EA PANEL EA SERUM TQ                                 ,$201.00 ,,
ANTIBODY IDENTIFICATION LEUKOCYTE ANTIBODIES                                    ,$299.00 ,,
ANTIBODY IDENTIFICATION PLATELET ANTIBODIES                                     ,$556.00 ,,
ANTIBODY JOHN CUNNINGHAM VIRUS                                                  ,$126.00 ,,
ANTIBODY LEGIONELLA                                                             ,$60.00 ,,
ANTIBODY LEISHMANIA                                                             ,$103.00 ,,
ANTIBODY LEPTOSPIRA                                                             ,$45.00 ,,
ANTIBODY LISTERIA MONOCYTOGENES                                                 ,$160.00 ,,
ANTIBODY LYMPHOCYTIC CHORIOMENINGITIS                                           ,$35.00 ,,
ANTIBODY MUMPS                                                                  ,$95.00 ,,
ANTIBODY MYCOPLSM                                                               ,$113.00 ,,
ANTIBODY PARVOVIRUS                                                             ,$42.00 ,,
ANTIBODY PROTOZOA NES                                                           ,$92.00 ,,
ANTIBODY RICKETTSIA                                                             ,$75.00 ,,
ANTIBODY RUBELLA                                                                ,$82.00 ,,
ANTIBODY RUBEOLA                                                                ,$82.00 ,,
ANTIBODY SCREEN RBC EACH SERUM TECHNIQUE                                        ,$104.00 ,,
ANTIBODY TETANUS                                                                ,$129.00 ,,
ANTIBODY TOXOPLASMA                                                             ,$84.00 ,,
ANTIBODY TOXOPLASMA IGM                                                         ,$84.00 ,,
ANTIBODY TREPONEMA PALLIDUM                                                     ,$129.00 ,,
ANTIBODY TRICHINELLA                                                            ,$63.00 ,,
ANTIBODY VARICELLA-ZOSTER                                                       ,$119.00 ,,
ANTIBODY VIRUS NOT ELSEWHERE SPECIFIFED                                         ,$92.00 ,,
ANTIBODY YERSINIA                                                               ,$89.00 ,,
ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 1 OR 2                                ,$135.00 ,,
ANTIEPILEPTICS NOT OTHERWISE SPECIFIED 1-3                                      ,$71.00 ,,
ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM                                        ,$104.00 ,,
ANTIHUMAN GLOBULIN INDIR QUAL EA REAGENT CELL                                   ,$481.00 ,,
ANTIHUMAN GLOBULIN INDIRECT EACH ANTIBODY TITER                                 ,$78.00 ,,
ANTINUCLEAR ANTIBODIES ANA                                                      ,$233.00 ,,
ANTINUCLEAR ANTIBODIES ANA TITER                                                ,$101.00 ,,
ANTISTREPTOLYSIN O SCREEN                                                       ,$126.00 ,,
ANTISTREPTOLYSIN O TITER                                                        ,$84.00 ,,
ANTITHMBNIII INJ(H)PR IU WSTE,$0.00 ,Invoice-based charges,
ANTITHROMBN III INJ(H)PER IU,$0.00 ,Invoice-based charges,
ANTITHYMCYTE GLBLN RABBIT 25MG,$0.00 ,Invoice-based charges,
AORTOGRAPHY ABDL BI ILIOFEM LOW EXTREM CATH RS&I                                ,"$2,865.00 ",,
AORTOGRAPHY ABDOMINAL SERIALOGRAPHY RS&I                                        ,"$2,875.00 ",,
AORTOGRAPHY THORACIC SERIALOGRAPHY RS&I                                         ,"$2,990.00 ",,
"APLIGRAF, PER SQUARE CENTIMETER                                                 ","$2,789.00 ",,
APLIGRAF;PER SQ CM,$0.00 ,Invoice-based charges,
APOLIPOPROTEIN EACH                                                             ,$69.00 ,,
APP SKN SUB GRFT T/A/L AREA/100SQ CM /<1ST 25                                   ,"$1,235.00 ",,
APP SKN SUB GRFT T/A/L AREA/100SQ CM EA ADL 25SC                                ,"$1,235.00 ",,
APP SKN SUB GRFT T/A/L AREA>/=100SCM ADL 100SQCM                                ,"$1,235.00 ",,
APP SKN SUBGRFT T/A/L AREA/100SQ CM 1ST 100SQ CM                                ,"$1,235.00 ",,
APPL MLTLAYR COMPRES LEG BELOW KNEE W/ANKLE FOOT                                ,$527.00 ,,
APPL MLTLAYR COMPRES THGH LEG ANKLE FT WHEN DONE                                ,$246.00 ,,
APPL MODALITY 1/> AREAS CONTRAST BATHS EA 15 MIN                                ,$110.00 ,,
APPL MODALITY 1/> AREAS ELEC STIMJ EA 15 MIN                                    ,$149.00 ,,
APPL MODALITY 1/> AREAS IONTOPHORESIS EA 15 MIN                                 ,$110.00 ,,
APPL MODALITY 1/> AREAS PARAFFIN BATH                                           ,$110.00 ,,
APPL MODALITY 1/> AREAS TRACTION MECHANICAL                                     ,$110.00 ,,
APPL MODALITY 1/> AREAS ULTRASOUND EA 15 MIN                                    ,$110.00 ,,
APPL MODALITY 1/> AREAS VASOPNEUMATIC DEVICES                                   ,$110.00 ,,
APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION                                  ,$661.00 ,,
APPLICATION CAST ELBOW FINGER SHORT ARM                                         ,$828.00 ,,
APPLICATION CAST FIGURE-OF-8                                                    ,"$1,763.00 ",,
APPLICATION CAST FINGER                                                         ,$112.00 ,,
APPLICATION CAST SHOULDER HAND LONG ARM                                         ,$828.00 ,,
APPLICATION CAST SHOULDER SPICA                                                 ,$460.00 ,,
APPLICATION CYLINDER CAST THIGH ANKLE                                           ,$828.00 ,,
APPLICATION FINGER SPLINT DYNAMIC                                               ,$327.00 ,,
APPLICATION FINGER SPLINT STATIC                                                ,$298.00 ,,
APPLICATION HALO CRANIAL INCLUDING REMOVAL                                      ,"$7,906.00 ",,
APPLICATION LONG ARM SPLINT SHOULDER HAND                                       ,$415.00 ,,
APPLICATION LONG LEG CAST BRACE                                                 ,"$1,858.00 ",,
APPLICATION LONG LEG CAST THIGH-TOE                                             ,$828.00 ,,
APPLICATION LONG LEG CAST WALKER/AMBULATORY TYPE                                ,$460.00 ,,
APPLICATION LONG LEG SPLINT THIGH ANKLE/TOES                                    ,$414.00 ,,
APPLICATION MODALITY 1/> AREAS WHIRLPOOL                                        ,$110.00 ,,
APPLICATION PATELLAR TENDON BEARING CAST                                        ,$425.00 ,,
APPLICATION RIGID TOTAL CONTACT LEG CAST                                        ,"$1,006.00 ",,
APPLICATION SHORT ARM SPLINT DYNAMIC                                            ,$327.00 ,,
APPLICATION SHORT ARM SPLINT FOREARM-HAND STATIC                                ,$415.00 ,,
APPLICATION SHORT LEG CAST BELOW KNEE-TOE                                       ,"$1,124.00 ",,
APPLICATION SHORT LEG CAST WALKING/AMBULATORY                                   ,"$1,124.00 ",,
APPLICATION SHORT LEG SPLINT CALF FOOT                                          ,$560.00 ,,
"APREPITANT, ORAL, 5MG",$0.00 ,Invoice-based charges,
ARC SENDOUT,$0.00 ,Invoice-based charges,
ARGATROBAN NONESRD USE 1MG,$0.00 ,Invoice-based charges,
"ARSENIC TRIOXIDE, 1 MG",$0.00 ,Invoice-based charges,
ARTERIAL PUNCTURE WITHDRAWAL BLOOD DX                                           ,$368.00 ,,
ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US                                 ,$712.00 ,,
ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US                                   ,"$1,520.00 ",,
ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US                                 ,$546.00 ,,
ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US                                   ,"$1,520.00 ",,
ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US                                 ,$546.00 ,,
ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT                                ,"$1,520.00 ",,
ARTIFICIAL INSEMINATION INTRA-UTERINE                                           ,$924.00 ,,
"ARTIFICIAL LARYNX, ANY TYPE                                                     ","$1,628.00 ",,
ARTL CATHJ/CANNULJ MNTR/TRANSFUSION SPX PRQ                                     ,"$1,505.00 ",,
ASPA GENE ANALYSIS COMMON VARIANTS                                              ,$300.00 ,,
"ASPARAGINASE 10,000 UNITS",$0.00 ,Invoice-based charges,
ASPIR &/NJX RENAL CYST/PELVIS NEEDLE PRQ                                        ,"$2,181.00 ",,
ASPIRATION & INJECTION TREATMENT BONE CYST                                      ,"$1,124.00 ",,
ASPIRATION AND/OR INJECTION THYROID CYST                                        ,"$1,235.00 ",,
ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER                                   ,"$1,605.00 ",,
ASPIRATION&/INJECTION GANGLION CYST ANY LOCATJ                                  ,$998.00 ,,
ASPIRATION/RELEASE VITREOUS SUBRETINAL/CHOROIDAL                                ,"$1,325.00 ",,
ASSAY OF ALDOLASE                                                               ,$36.00 ,,
ASSAY OF ALDOSTERONE                                                            ,$195.00 ,,
ASSAY OF ALUMINUM                                                               ,$157.00 ,,
ASSAY OF AMMONIA                                                                ,$96.00 ,,
ASSAY OF AMYLASE                                                                ,$58.00 ,,
ASSAY OF ARSENIC                                                                ,$118.00 ,,
ASSAY OF ASCORBIC ACID BLOOD                                                    ,$60.00 ,,
ASSAY OF B-HEXOSAMINIDASE EACH ASSAY                                            ,$182.00 ,,
ASSAY OF BLOOD/URIC ACID                                                        ,$40.00 ,,
ASSAY OF CALPROTECTIN FECAL                                                     ,$172.00 ,,
ASSAY OF CHROMIUM                                                               ,$135.00 ,,
ASSAY OF CITRATE                                                                ,$51.00 ,,
ASSAY OF COPPER                                                                 ,$63.00 ,,
ASSAY OF C-PEPTIDE                                                              ,$77.00 ,,
ASSAY OF CYANIDE                                                                ,$150.00 ,,
ASSAY OF DIBUCAINE NUMBER                                                       ,$101.00 ,,
ASSAY OF ERYTHROPOIETIN                                                         ,$90.00 ,,
ASSAY OF ESTRADIOL                                                              ,$160.00 ,,
ASSAY OF ESTRIOL                                                                ,$45.00 ,,
ASSAY OF ESTRONE                                                                ,$47.00 ,,
ASSAY OF FERRITIN                                                               ,$105.00 ,,
ASSAY OF FLUORIDE                                                               ,$68.00 ,,
ASSAY OF FOLIC ACID RBC                                                         ,$70.00 ,,
ASSAY OF FOLIC ACID SERUM                                                       ,$128.00 ,,
ASSAY OF FREE THYROXINE                                                         ,$146.00 ,,
ASSAY OF FRUCTOSE SEMEN                                                         ,$245.00 ,,
ASSAY OF GAMMAGLOBULIN IGA IGD IGG IGM EACH                                     ,$49.00 ,,
ASSAY OF GAMMAGLOBULIN IGE                                                      ,$162.00 ,,
ASSAY OF GASTRIN                                                                ,$167.00 ,,
ASSAY OF GLUCAGON                                                               ,$78.00 ,,
ASSAY OF GLUTAMYLTRASE GAMMA                                                    ,$55.00 ,,
ASSAY OF GLUTATHIONE REDUCTASE RBC                                              ,$18.00 ,,
ASSAY OF GLYCATED PROTEIN                                                       ,$56.00 ,,
ASSAY OF GROWTH HORMONE HUMAN                                                   ,$175.00 ,,
ASSAY OF HAPTOGLOBIN QUANTITATIVE                                               ,$67.00 ,,
ASSAY OF HEMOGLOBIN PLASMA                                                      ,$35.00 ,,
ASSAY OF HEMOSIDERIN QUALITATIVE                                                ,$66.00 ,,
ASSAY OF HISTAMINE                                                              ,$209.00 ,,
ASSAY OF HOMOCYSTEINE                                                           ,$139.00 ,,
ASSAY OF HOMOVANILLIC ACID                                                      ,$13.00 ,,
ASSAY OF HYDROXYINDOLACETIC ACID 5-HIAA                                         ,$21.00 ,,
ASSAY OF HYDROXYPROGESTERONE 17-D                                               ,$217.00 ,,
ASSAY OF INSULIN FREE                                                           ,$50.00 ,,
ASSAY OF INSULIN TOTAL                                                          ,$55.00 ,,
ASSAY OF IRON                                                                   ,$262.00 ,,
ASSAY OF KETOSTEROIDS 17- TOTAL                                                 ,$63.00 ,,
ASSAY OF L7383TRANSFERRIN                                                       ,$100.00 ,,
ASSAY OF LACTATE                                                                ,$137.00 ,,
ASSAY OF LEAD                                                                   ,$60.00 ,,
ASSAY OF LIPASE                                                                 ,$70.00 ,,
ASSAY OF MAGNESIUM                                                              ,$77.00 ,,
ASSAY OF MANGANESE                                                              ,$109.00 ,,
ASSAY OF MERCURY QUANTITATIVE                                                   ,$92.00 ,,
ASSAY OF NEPHELOMETRY EACH ANALYTE NES                                          ,$171.00 ,,
ASSAY OF NUCLEOTIDASE 5'-                                                       ,$54.00 ,,
ASSAY OF OSMOLALITY BLOOD                                                       ,$78.00 ,,
ASSAY OF OSMOLALITY URINE                                                       ,$78.00 ,,
ASSAY OF OSTEOCALCIN                                                            ,$131.00 ,,
ASSAY OF OXALATE                                                                ,$50.00 ,,
ASSAY OF PARATHORMONE                                                           ,$435.00 ,,
ASSAY OF PHENCYCLIDINE                                                          ,$113.00 ,,
ASSAY OF PHENYLALANINE BLOOD                                                    ,$82.00 ,,
ASSAY OF PHOSPHATASE ACID PROSTATIC                                             ,$35.00 ,,
ASSAY OF PHOSPHATASE ALKALINE                                                   ,$47.00 ,,
ASSAY OF PHOSPHATASE ALKALINE ISOENZYMES                                        ,$19.00 ,,
ASSAY OF PHOSPHORUS INORGANIC                                                   ,$42.00 ,,
ASSAY OF PHOSPHORUS INORGANIC URINE                                             ,$20.00 ,,
ASSAY OF PORPHOBILINOGEN URINE QUANTITATIVE                                     ,$70.00 ,,
ASSAY OF PROGESTERONE                                                           ,$135.00 ,,
ASSAY OF PROINSULIN                                                             ,$116.00 ,,
ASSAY OF PROLACTIN                                                              ,$284.00 ,,
ASSAY OF PROSTAGLNDIN EACH                                                      ,$263.00 ,,
ASSAY OF PROSTATE SPECIFIC ANTIGEN FREE                                         ,$34.00 ,,
