MASSACHUSETTS GENERAL HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
98301299,"HCPR INTERNATIONAL EVALUATION, 30 MIN",$86.00
98301247,HCPR VNPNXR <3 YEARS PHYS/QHP SKILL OTHER VEIN,$71.00
98301244,HCPR EXCISION OF FACIAL BONE(S),"$2,083.00"
98301243,HCPR BIOPSY GLAND SALIVARY INCISIONAL,$925.00
98301242,HCPR EXCISION OF BONE LOWER JAW,"$3,097.00"
98301241,HCPR INJECTION SUBQ OR IM,$108.00
98300901,HCPR CLTX VRT FX&/DISLC CSTING/BRACING MANJ/TRCJ,"$3,133.00"
98300900,HCPR BONE MARROW ASP SAME SITE AS BX,$35.00
98300869,HCPR REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,$345.00
98300868,HCPR REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM,"$1,202.00"
98300866,HCPR REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<,$299.00
98300865,HCPR REPAIR COMPLEX TRUNK 2.6-7.5 CM,"$1,040.00"
98300858,HCPR DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,"$1,173.00"
98300851,HCPR LUNG SCREENING COUNSEL VISIT FOR LOW DOSE CT,$105.00
98300848,HCPR DESTRUCTION MAL LESION F/E/E/N/L/M 3.1-4.0CM,$853.00
98300847,"HCPR INJ DX/THER AGNT PARAVT FACET JNT,IMG GUIDE,LUMBAR/SAC,1ST LEVEL",$453.00
98300843,HCPR APPLICATION TOPICAL FLUORIDE VARNISH BY PHS/QHP,$87.00
98300842,HCPR DRG OF SKENE'S GLAND ABSCESS OR CYST,$667.00
98300840,HCPR SIALOT SUBMNDBLR SUBLNGL/PRTD UNCOMP INTRAORAL,$679.00
98300836,HCPR EXC LES MUCOSA & SBMC VESTIBULE MOUTH W/O RPR,$540.00
98300835,HCPR DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL,$563.00
98300834,HCPR ORTHOPANTOGRAM,$45.00
98300831,HCPR RADIOLOGIC EXAMINATION TEETH 1 VIEW,$24.00
98300830,HCPR PERCUTANEOUS TESTS W/ALLERGENIC EXTRACTS,$29.00
98300826,HCPR EXCISION TUMOR SOFT TISSUE THIGH/KNEE SUBQ <3CM,"$1,350.00"
98300825,HCPR E/M ADULT HM VISIT EST HIGH COMP 60 MIN,$704.00
98300824,HCPR E/M ADULT HM VISIT EST MOD COMP 40 MIN,$509.00
98300823,HCPR E/M ADULT HM VISIT EST LOW COMP25 MIN,$333.00
98300822,HCPR E/M ADULT HM VISIT EST LT 15 MIN,$219.00
98300817,HCPR SUBSEQUENT HOSPITAL CARE HIGH,$411.00
98300816,HCPR HOSPITAL DISCHARGE DAY 30 MIN OR LESS,$289.00
98300815,HCPR SUBSEQUENT HOSPITAL CARE MOD,$285.00
98300814,HCPR SUBSEQUENT HOSPITAL CARE LOW,$154.00
98300812,HCPR INITIAL HOSPITAL CARE MOD,$539.00
98300810,HCPR CLTX PHLNGL FX PROX/MIDDLE PX/F/T W/MANJ EA,"$1,241.00"
98300807,HCPR TECH COUNTER E/M HOME VISIT - EST MOD 40 MIN,$509.00
98300806,HCPR MGH REMOVE TONGUE PIERCING,$893.00
98300805,HCPR BEHAV ASSMT W/SCORE & DOCD/STAND INSTRUMENT,$24.00
98300804,HCPR TAP BLOCK BILATERAL BY INJECTION(S),$388.00
98300803,HCPR TAP BLOCK UNILATERAL BY INJECTION(S),$307.00
98300801,HCPR ADVANCE CARE PLANNING EA ADDL 30 MINS,$283.00
98300800,HCPR ADVANCE CARE PLANNING FIRST 30 MINS,$302.00
98300797,HCPR CHRON CARE MANAGEMENT SRVC 20 MIN PER MONTH,$127.00
98300796,HCPR ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,$245.00
98300795,HCPR ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,$197.00
98300794,HCPR ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,$210.00
98300793,HCPR ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,$191.00
98300792,HCPR ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,$186.00
98300791,HCPR ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,$160.00
98300788,HCPR INDUCED ABORTION DILATION AND CURETTAGE,$916.00
98300787,HCPR SHUNTOGRAM INDWELLING NONVASCULAR SHUNT RS&I,$95.00
98300786,HCPR MEDICAL SERVICES EVE/WKEND/HOLIDAY,$94.00
98300658,HCPR DSTRJ LESION ANUS EXTENSIVE,"$1,288.00"
98300657,HCPR HYSTEROSCOPY REMOVAL IMPACTED FOREIGN BODY,"$1,106.00"
98300656,HCPR NJX ANES/STEROID TFRML EDRL W/US LUM/SAC EA ADDL,$278.00
98300655,HCPR NJX ANES/STEROID TFRML EDRL W/US LUM/SAC 1 LVL,"$1,118.00"
98300654,HCPR NJX ANES/STERD TFRML EDRL W/US CER/THOR EA ADDL,$277.00
98300653,HCPR NJX ANES/STEROID TFRML EDRL W/US CER/THOR 1 LVL,"$1,297.00"
98300652,HCPR NJX PARAVERTBRL FCT JT W/US LUMB/SAC 3RD&> LVL,$227.00
98300651,HCPR NJX DX/THER PARAVER FCT JT W/US LUMB/SAC LVL 2,$223.00
98300650,HCPR NJX DX/THER PARAVER FCT JT W/US LUMB/SAC 1 LVL,$458.00
98300649,HCPR NJX PARAVERTBRL FACET JT W/US CER/THOR 3RD&> LVL,$267.00
98300648,HCPR NJX PARAVERT W/US CER/THOR,$262.00
98300647,HCPR NJX DX/THER PARAVER FCT JT W/US CER/THOR 1 LVL,$472.00
98300646,HCPR TOBACCO USE CESSATION INTENSIVE >10 MINUTES,$101.00
98300644,HCPR LARYNGOSCOPY INDIRECT DIAGNOSTIC SPX,$237.00
98300642,HCPR IMAGE CATH FLUID PERI/RETRO,$799.00
98300641,HCPR CLSD TX DIST RAD FX W/MANIP,"$2,084.00"
98300640,HCPR CLSD TX ACROMIOCLA DISL W/OMAN,$938.00
98300639,HCPR CONSULT - LEVEL 5 VISIT,$748.00
98300638,HCPR CONSULT - LEVEL 4 VISIT,$605.00
98300637,HCPR CONSULT - LEVEL 3 VISIT,$376.00
98300636,HCPR CONSULT - LEVEL 2 VISIT,$269.00
98300635,HCPR CONSULT - LEVEL 1 VISIT,$128.00
98300634,HCPR CHEMODENERV MUSC NECK DYSTON,$535.00
98300633,HCPR CHEMODENERV TRUNK 6 OR MORE,$612.00
98300632,HCPR CHEMODENERV TRUNK MUSC 1-5,$530.00
98300630,HCPR SMOKING CESS COUN INTER >3MIN,$49.00
98300629,HCPR OSTEOPATH MANJ 1-2 REGIONS,$95.00
98300628,HCPR MEDICAL SERVICES AFTER HRS,$76.00
98300627,HCPR CANALITH REPOSITIONING PROC,$148.00
98300626,HCPR REMOVE/INSERT DRUG IMPLANT,$699.00
98300625,HCPR REMOVE DRUG IMPLANT DEVICE,$400.00
98300621,HCPR REPAIR INTERMEDIATE N/H/F/XTRNL GENT >30.0 CM,"$1,516.00"
98300620,HCPR RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM,"$1,250.00"
98300619,HCPR REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM,"$1,101.00"
98300618,HCPR REPAIR INTERMEDIATE S/A/T/E >30.0 CM,"$1,325.00"
98300617,HCPR REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM,"$1,126.00"
98300612,HCPR BIER BLOCK,$929.00
98300601,HCPR KNEE ARTHROSCOPY/SURGERY,"$4,989.00"
98300600,HCPR TRANS CARE MGMT 7 DAY DISCH,$737.00
98300599,HCPR TRANS CARE MGMT 14 DAY DISCH,$502.00
98300598,HCPR BEHAVIOR COUNSEL OBESITY 15M,$94.00
98300597,HCPR INTENS BEHAVE THER CARDIO DX,$94.00
98300596,HCPR HIGH INTEN BEH COUNS STD 30M,$94.00
98300595,HCPR DEPRESSION SCREEN ANNUAL 15MIN,$38.00
98300594,HCPR ALCOHOL MISUSE COUNSEL 15 MINS,$94.00
98300593,HCPR ANNUAL ALCOHOL SCREEN 15 MINS,$38.00
98300592,HCPR COMPLETED EPSDT,$27.00
98300591,HCPR OBTAINING SCREEN PAP SMEAR,$78.00
98300589,HCPR INITIAL PREVENTIVE EXAM,$503.00
98300588,HCPR TRIM NAIL(S),$30.00
98300587,HCPR PROSTATE CA SCREENING; DRE,$82.00
98300586,HCPR CA SCREEN;PELVIC/BREAST EXAM,$135.00
98300585,HCPR PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS,$303.00
98300584,HCPR OSTEOPATHIC MANIPULATIVE TX 3-4 BODY REGIONS,$142.00
98300583,HCPR ORTHOTIC MGMT&TRAINJ UXTR LXTR&/TRNK EA 15,$157.00
98300582,HCPR CHEMOTX NJX SUBARACHND/INTRAVENTR RSVR 1/MULT,$168.00
98300581,HCPR CHEMOTX ADMN CNS REQ SPINAL PUNCTURE,$367.00
98300580,HCPR THYROID UPTAKE W/BLOOD FLOW SNGLE/MULT QUAN MEAS,$99.00
98300579,HCPR THYROID UPTAKE SINGLE/MULTIPLE QUANT MEASUREMENT,$38.00
98300578,HCPR US GUIDANCE NEEDLE PLACEMENT RS&I,$162.00
98300577,HCPR UNLISTED PROCEDURE NERVOUS SYSTEM,$236.00
98300576,HCPR CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,$614.00
98300575,HCPR DILAT URETHRAL STRIX DILATOR MALE SBSQ,$216.00
98300574,HCPR TRNSPLJ HEMATOPOIETIC CELL BOOST,$482.00
98300573,HCPR THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,$416.00
98300572,HCPR CLTX GREATER TROCHANTERIC FX W/O MANJ,"$1,577.00"
98300571,HCPR INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,$403.00
98300570,HCPR CLTX METACARPAL FX W/MANIPULATION EACH BONE,"$1,205.00"
98300568,HCPR ARTHROCENTESIS ASPIR&/INJECTION MAJOR JT/BURSA,$197.00
98300566,HCPR DESTRUCTION BENIGN LESIONS UP TO 14,$292.00
98300558,HCPR DILAT FEMALE URT W/SUPPOSITORY&/INSTLJ SBSQ,$163.00
98300548,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$393.00
98300547,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 45 M,$294.00
98300546,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$198.00
98300545,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 15 M,$96.00
98300544,HCPR PERIODIC PREVENTIVE MED EST PATIENT 65YRS& OLDER,$403.00
98300543,HCPR PERIODIC PREVENTIVE MED EST PATIENT 40-64YRS,$382.00
98300542,HCPR PERIODIC PREVENTIVE MED EST PATIENT 18-39 YRS,$351.00
98300541,HCPR PERIODIC PREVENTIVE MED EST PATIENT 12-17YRS,$342.00
98300540,HCPR PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS,$303.00
98300539,HCPR PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y,$276.00
98300538,HCPR INITIAL PREVENTIVE MEDICINE NEW PATIENT 65YRS&>,$503.00
98300537,HCPR INITIAL PREVENTIVE MEDICINE NEW PATIENT 40-64YRS,$470.00
98300536,HCPR INITIAL PREVENTIVE MEDICINE NEW PT AGE 18-39YRS,$386.00
98300535,HCPR INITIAL PREVENTIVE MEDICINE NEW PT AGE 12-17 YR,$403.00
98300534,HCPR INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS,$342.00
98300533,HCPR INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS,$321.00
98300532,HCPR INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR,$303.00
98300531,HC PROLNG E&M/PSYCTX SVC OFFICE O/P DIR CON ADDL 30,$356.00
98300530,HCPR PROLNG SVC OFFICE O/P DIR CONTACT 1ST HR,$481.00
98300529,HCPR CONSULT - NEW PT - LEVEL 5 VISIT,$748.00
98300528,HCPR CONSULT - NEW PT - LEVEL 4 VISIT,$605.00
98300527,HCPR OFFICE CONSULTATION NEW PATIENT 40 MIN,$376.00
98300526,HCPR CONSULT - NEW PT - LEVEL 2 VISIT,$269.00
98300525,HCPR CONSULT - NEW PT - LEVEL 1 VISIT,$128.00
98300524,HCPR ESTAB PT- LEVEL 5 VISIT,$438.00
98300523,HCPR ESTAB PT- LEVEL 4 VISIT,$310.00
98300522,HCPR ESTAB PT- LEVEL 3 VISIT,$201.00
98300521,HCPR ESTAB PT- LEVEL 2 VISIT,$100.00
98300520,HCPR OFFICE OUTPATIENT EST LEVEL 1,$36.00
98300519,HCPR NEW PT - LEVEL 5 VISIT,$687.00
98300518,HCPR NEW PT - LEVEL 4 VISIT,$527.00
98300517,HCPR NEW PT - LEVEL 3 VISIT,$312.00
98300516,HCPR OFFICE OUTPATIENT NEW 20 MINUTES,$205.00
98300515,HCPR OFFICE OUTPATIENT NEW 10 MINUTES,$109.00
98300514,HCPR IPECAC/SIMILAR ADMN EMESIS&OBS STOMACH EMPTIED,$69.00
98300513,HCPR SCREENING TEST VISUAL ACUITY QUANTITATIVE BILAT,$13.00
98300512,HCPR OSTEOPATHIC MANIPULATIVE TX 5-6 BODY REGIONS,$188.00
98300510,HCPR DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,$150.00
98300509,HCPR DEBRIDEMENT OPEN WOUND 20 SQ CM/<,$139.00
98300506,HCPR DEVELOPMENTAL TESTING W/INTERP & REPORT,$491.00
98300505,HCPR DEVELOPMENTAL SCREEN W/SCORING & DOC STD INSTRM,$41.00
98300504,HCPR RFL&MAIN IMPLT PMP/RSVR DLVR SPI/BRN PHY/QHP,$340.00
98300503,HCPR REFILL&MAINTENANCE PUMP DRUG DLVR SPINAL/BRAIN,$394.00
98300501,HCPR ELEC ALYS NSTIM PLS GEN CPLX SC/PERPH 1ST HR,$273.00
98300500,HCPR ELEC ALYS NSTIM PLS GEN SMPL SC/PERPH W/PRGRMG,$161.00
98300499,HCPR ELEC ALYS NSTIM PLS GEN BRN/SC/PERPH W/O REPRGRM,$96.00
98300498,HCPR CHOLINESTERASE INHIBITOR CHALLENGE TEST,$119.00
98300497,HCPR BRNCDILAT RSPSE SPMTRY PRE&POST-BRNCDILAT ADMN,$52.00
98300496,HCPR SPMTRY W/VC EXPIRATORY FLO W/WO MXML VOL VNTJ,$33.00
98300495,HCPR CARDIOVERSION ELECTIVE ARRHYTHMIA EXTERNAL,$476.00
98300494,HCPR CARDIOPULMONARY RESUSCITATION,$734.00
98300493,HCPR NASOPHARYNGOSCOPY W/ENDOSCOPE SPX,$679.00
98300492,HCPR RP THERAPY ORAL ADMINISTRATION,$348.00
98300491,HCPR FLUORO NEEDLE/CATH SPINE/PARASPINAL DX/THER (26),$119.00
98300490,HCPR FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT (26),$111.00
98300489,HCPR FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME (26),$54.00
98300485,HCPR RMVL IMPACTED CERUMEN SPX UNILATERAL,$130.00
98300484,HCPR RMVL FB XTRNL AUDITORY CANAL W/O ANES,$225.00
98300483,HCPR EXCISION EXTERNAL EAR PARTIAL SIMPLE REPAIR,"$1,342.00"
98300482,HCPR BIOPSY EXTERNAL EAR,$198.00
98300481,HCPR INCISIONAL BIOPSY EYELID SKIN & LID MARGIN,$377.00
98300480,HCPR RMVL FB XTRNL EYE CORNEAL W/SLIT LAMP,$209.00
98300479,HCPR RMVL FB XTRNL EYE CORNEAL W/O SLIT LAMP,$170.00
98300478,HCPR REMOVAL FB EYE CONJUNCTIVAL SUPERFICIAL,$178.00
98300476,HCPR DSTRJ NULYT W/WORAD MNTR SUPRIOR HYPOGSTR PLEXUS,"$1,256.00"
98300475,HCPR DSTRJ NEUROLYTIC W/WO RAD MONITOR CELIAC PLEXUS,$939.00
98300474,HCPR DSTRJ NEUROLYTIC AGENT OTHER PERIPHERAL NERVE,$678.00
98300473,HCPR DSTR NROLYTC AGNT PARVERTEB FCT ADDL LMBR/SACRAL,$279.00
98300472,HCPR DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL,"$1,055.00"
98300471,HCPR DSTR NROLYTC AGNT PARVERTEB FCT ADDL CRVCL/THORA,$319.00
98300470,HCPR DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA,"$1,071.00"
98300469,HCPR DSTRJ NEUROLYTIC AGENT PUDENDAL NERVE,$901.00
98300468,HCPR DSTRJ NEUROLYTIC AGENT INTERCOSTAL NERVE,$816.00
98300465,HCPR CHEMODNRVTJ MUSC MUSC INNERVATED FACIAL NRV UNIL,$709.00
98300464,HCPR REVJ/RMVL PERIPHERAL NEUROSTIMULATOR ELECTRODE,"$1,720.00"
98300463,HCPR INJX ANES CELIAC PLEXUS W/WO RADIOLOGIC MONITRNG,$456.00
98300462,HCPR INJECTION ANES LMBR/THRC PARAVERTBRL SYMPATHETIC,$396.00
98300461,HCPR INJECTION ANES SUPERIOR HYPOGASTRIC PLEXUS,$605.00
98300460,HCPR NJX ANES STELLATE GANGLION CRV SYMPATHETIC,$364.00
98300459,HCPR INJECTION ANES AGENT SPHENOPALATINE GANGLION,$425.00
98300458,HCPR NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,$257.00
98300457,HCPR NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,$254.00
98300456,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 3+ LEVEL,$300.00
98300455,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 3+ LEVEL,$300.00
98300454,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 2ND LEVEL,$297.00
98300453,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 1 LEVEL,$531.00
98300452,HCPR NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC EA LV,$278.00
98300451,HCPR NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC 1 LVL,"$1,118.00"
98300450,HCPR NJX ANES&/STRD W/IMG TFRML EDRL CRV/THRC EA LV,$316.00
98300449,HCPR NJX ANES&/STRD W/IMG TFRML EDRL CRV/THRC 1 LVL,"$1,232.00"
98300448,HCPR NJX ANES&/STEROID PLANTAR COMMON DIGITAL NERVE,$163.00
98300447,HCPR INJECTION ANES OTHER PERIPHERAL NERVE/BRANCH,$275.00
98300446,HCPR INJECTION ANES LUMBAR PLEXUS POST CONT NFS CATH,$410.00
98300445,HCPR INJECTION ANES FEMORAL NERVE CONT INFUSION CATH,$394.00
98300444,HCPR INJECTION ANESTHETIC AGENT FEMORAL NERVE SINGLE,$290.00
98300443,HCPR INJECTION ANES SCIATIC NERVE CONT INFUSION CATH,$437.00
98300442,HCPR INJECTION ANESTHETIC AGENT SCIATIC NRV SINGLE,$334.00
98300441,HCPR INJECTION ANES ILIOINGUINAL ILIOHYPOGASTRIC NRVS,$438.00
98300440,HCPR MULTIPLE NERVE BLOCK INJECTIONS RIB NERVES,$225.00
98300439,HCPR INJECTION ANESTHETIC AGENT 1 INTERCOSTAL NERVE,$606.00
98300438,HCPR INJECTION ANESTHETIC AGENT SUPRASCAPULAR NERVE,$359.00
98300437,HCPR SINGLE NERVE BLOCK INJECTION ARM NERVE,$285.00
98300435,HCPR INJECTION ANESTHETIC AGENT GREATER OCCIPITAL NRV,$329.00
98300434,HCPR NJX ANES TRIGEMINAL NRV ANY DIV/BRANCH,$344.00
98300433,HCPR REVJ/RMVL IMPLANTED SPINAL NEUROSTIM GENERATOR,"$1,700.00"
98300432,HCPR REVJ INCL RPLCMT NSTIM ELTRD PRQ RA INCL FLUOR,"$2,127.00"
98300431,HCPR RMVL SPINAL NSTIM ELTRD PRQ ARRAY INCL FLUOR,"$1,635.00"
98300430,HCPR LAM IMPLTJ NSTIM ELTRDS PLATE/PADDLE EDRL,"$3,764.00"
98300429,HCPR PRQ IMPLTJ NSTIM ELECTRODE ARRAY EPIDURAL,"$2,504.00"
98300428,HCPR ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP,$214.00
98300427,HCPR ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFIL,$164.00
98300426,HCPR ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG,$204.00
98300425,HCPR ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL,$117.00
98300420,HCPR INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC,$808.00
98300419,HCPR INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR,"$1,021.00"
98300418,HCPR DCMPRN PERQ NUCLEUS PULPOSUS 1/> LEVELS LUMBAR,"$2,718.00"
98300417,HCPR INJECTION EPIDURAL BLOOD/CLOT PATCH,$525.00
98300416,HCPR SPINAL PUNCTURE THER DRAIN CEREBROSPINAL FLUID,$531.00
98300415,HCPR SPINAL PUNCTURE LUMBAR DIAGNOSTIC,$523.00
98300414,HCPR PUNCTURE SHUNT TUBE/RESERVOIR ASPIRATION/INJ PX,"$1,082.00"
98300413,HCPR VENTRICULAR PUNCTURE PREVIOUS BURR HOLE W/INJ,$490.00
98300412,HCPR VENTRICULAR PUNCTURE PREVIOUS BURR HOLE W/O NJX,$469.00
98300411,HCPR BIOPSY THYROID PERCUTANEOUS CORE NEEDLE,$381.00
98300410,HCPR VAGINAL DELIVERY ONLY,"$3,789.00"
98300409,HCPR HYSTEROSCOPY BI TUBE OCCLUSION W/PERM IMPLNTS,"$1,730.00"
98300408,HCPR HYSTEROSCOPY ENDOMETRIAL ABLATION,"$1,303.00"
98300407,HCPR HYSTEROSCOPY BX ENDOMETRIUM&/POLYPC W/WO D&C,"$1,508.00"
98300406,HCPR HYSTEROSCOPY DIAGNOSTIC SEPARATE PROCEDURE,$873.00
98300405,HCPR REMOVAL INTRAUTERINE DEVICE IUD,$267.00
98300404,HCPR INSERTION INTRAUTERINE DEVICE IUD,$212.00
98300403,HCPR DILATION & CURETTAGE DX&/THER NONOBSTETRIC,$874.00
98300402,HCPR ENDOMETRIAL BX W/WO ENDOCERVIX BX W/O DILAT SPX,$349.00
98300401,HCPR DILATION CERVICAL CANAL INSTRUMENTAL SPX,$294.00
98300400,HCPR CONIZATION CERVIX W/WO D&C RPR ELTRD EXC,"$1,299.00"
98300399,HCPR CAUTERY CERVIX CRYOCAUTERY INITIAL/REPEAT,$534.00
98300398,HCPR CAUTERY CERVIX ELECTRO/THERMAL,$462.00
98300397,HCPR ENDOCERVICAL CURETTAGE W/DILATION & CURETTAGE,$377.00
98300396,HCPR BIOPSY CERVIX SINGLE/MULT/EXCISION OF LESION SPX,$511.00
98300395,HCPR COLPOSCOPY CERVIX VAG ELTRD CONIZATION CERVIX,"$1,283.00"
98300394,HCPR COLPOSCOPY CERVIX VAG LOOP ELTRD BX CERVIX,"$1,160.00"
98300393,HCPR COLPOSCOPY CERVIX ENDOCERVICAL CURETTAGE,$410.00
98300392,HCPR COLPOSCOPY CERVIX UPPR/ADJCNT VAGINA W/CERVIX BX,$441.00
98300391,HCPR COLPOSCOPY CERVIX BX CERVIX & ENDOCRV CURRETAGE,$543.00
98300390,HCPR COLPOSCOPY CERVIX UPPER/ADJACENT VAGINA,$370.00
98300389,HCPR COLPOSCOPY ENTIRE VAGINA W/VAGINA/CERVIX BX,$493.00
98300388,HCPR COLPOSCOPY ENTIRE VAGINA W/CERVIX IF PRESENT,$366.00
98300387,HCPR INTRO ANY HEMOSTATIC AGENT/PACK VAG HEMRRG SPX,$424.00
98300386,HCPR DIAPHRAGM/CERVICAL CAP FITTING W/INSTRUCTIONS,$192.00
98300385,HCPR FIT&INSJ PESSARY/OTH INTRAVAGINAL SUPPORT DEVI,$186.00
98300384,HCPR IRRIGATION VAGINA&/APPL MEDICAMENT TX DISEASE,$115.00
